URL,Tên xe,Giá,Số ghế,Năm SX,Nhiên liệu,Kiểu dáng,Tình trạng,Km đã đi,Hộp số,Xuất xứ,Tỉnh thành,Ngày đăng
https://oto.com.vn/mua-ban-xe-hyundai-kona-ha-noi/len-doi-can-ban-aidxc23373395,Hyundai Kona 2.0 AT Đặc biệt 2019,450000000,5,2019,Máy xăng,SUV,Xe cũ,80.000 km,Số tự động,Trong nước,Nam Từ Liêm - Hà Nội,12/07/2025
https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/may-nguyen-ban-cua-nha-san-xuat-aidxc23368554,Ford Everest Titanium 2.0 AT 4x2 2023,1225000000,7,2023,Máy dầu,SUV,Xe cũ,22.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội,03/06/2025
https://oto.com.vn/mua-ban-xe-ford-transit-hcm/2022-xe-luot-1-chuxe-cho-nhan-vienzin-100-bao-test-aidxc23366842,Ford Transit 2022,715000000,16,2022,Máy dầu,Van/Minivan,Xe cũ,40.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM,15/06/2025
https://oto.com.vn/mua-ban-xe-mazda-3-ha-noi/salon-xin-duoc-chao-ban-chiec-xe-aidxc23370719,Mazda 3 Sedan 1.5L Luxury 2020,499000000,5,2020,Máy xăng,Sedan,Xe cũ,3.200 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội,08/04/2025
https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-binh-duong/xe-nha-giu-ki-khong-dam-dung-k-loi-nguyen-zin-gia-thuong-luong-aidxc23376417,Mitsubishi Xpander 1.5 MT 2019,420000000,7,2019,Máy xăng,MPV,Xe cũ,76.000 km,Số tự động,Nhập khẩu,Thuận An - Bình Dương,12/02/2025
https://oto.com.vn/mua-ban-xe-hyundai-grand-i10-ha-noi/salon-xin-duoc-chao-ban-chiec-xe-aidxc23364007,Hyundai Grand i10 Hatchback 1.2 AT 2022,373000000,5,2022,Máy xăng,Hatchback,Xe cũ,48.000 km,Số tự động,Trong nước,Hoàng Mai - Hà Nội,31/07/2025
https://oto.com.vn/mua-ban-xe-ford-everest-ha-noi/salon-xin-duoc-chao-ban-chiec-xe-aidxc23366256,Ford Everest Titanium 2.0 AT 4x2 2023,1219000000,7,2023,Máy dầu,SUV,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội,12/05/2025
https://oto.com.vn/mua-ban-xe-mercedes-benz-c180-ha-noi/bao-check-thoai-mai-aidxc23372427,Mercedes-Benz C180 AMG 2021,830000000,5,2021,Máy xăng,Sedan,Xe cũ,30.000 km,Số tự động,Nhập khẩu,Long Biên - Hà Nội,12/06/2025
https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/27-aidxc23363030,Toyota Fortuner 2.7 V 4X4 AT 2012,393000000,7,2012,Máy xăng,SUV,Xe cũ,108.000 km,Số tự động,Trong nước,Quận 1 - Tp.HCM,06/07/2025
https://oto.com.vn/mua-ban-xe-honda-cr-v-hcm/phien-ban-l-day-du-tien-nghi-aidxc23365927,Honda CR-V 2018,708000000,5,2018,Máy xăng,SUV,Xe cũ,73.000 km,Số tự động,Nhập khẩu,Quận 1 - Tp.HCM,14/04/2025
